iter	Passed	Remaining
763	4999	1544
764	5005	1537
765	5012	1531
766	5019	1524
767	5025	1518
768	5032	1511
769	5039	1505
770	5045	1498
771	5052	1492
772	5058	1485
773	5065	1479
774	5072	1472
775	5078	1465
776	5084	1459
777	5091	1452
778	5097	1446
779	5104	1439
780	5110	1433
781	5117	1426
782	5123	1419
783	5129	1413
784	5135	1406
785	5142	1400
786	5149	1393
787	5155	1387
788	5162	1380
789	5168	1374
790	5175	1367
791	5181	1360
792	5187	1354
793	5194	1347
794	5200	1341
795	5207	1334
796	5213	1327
797	5220	1321
798	5226	1314
799	5233	1308
800	5240	1301
801	5246	1295
802	5252	1288
803	5259	1282
804	5265	1275
805	5272	1269
806	5278	1262
807	5285	1256
808	5292	1249
809	5299	1243
810	5305	1236
811	5313	1230
812	5319	1223
813	5325	1216
814	5332	1210
815	5338	1203
816	5344	1197
817	5351	1190
818	5358	1184
819	5365	1177
820	5371	1171
821	5378	1164
822	5384	1158
823	5391	1151
824	5397	1144
825	5404	1138
826	5410	1131
827	5417	1125
828	5423	1118
829	5430	1112
830	5436	1105
831	5443	1099
832	5449	1092
833	5455	1085
834	5462	1079
835	5468	1072
836	5474	1066
837	5481	1059
838	5487	1053
839	5494	1046
840	5501	1040
841	5507	1033
842	5514	1026
843	5521	1020
844	5527	1014
845	5534	1007
846	5540	1000
847	5547	994
848	5553	987
849	5560	981
850	5566	974
851	5573	968
852	5579	961
853	5586	955
854	5592	948
855	5599	941
856	5605	935
857	5612	928
858	5618	922
859	5625	915
860	5631	909
861	5638	902
862	5644	896
863	5650	889
864	5657	882
865	5663	876
866	5669	869
867	5675	863
868	5682	856
869	5689	850
870	5695	843
871	5702	837
872	5708	830
873	5714	823
874	5721	817
875	5728	810
876	5735	804
877	5741	797
878	5748	791
879	5754	784
880	5760	778
881	5767	771
882	5774	765
883	5780	758
884	5786	751
885	5793	745
886	5799	738
887	5805	732
888	5812	725
889	5818	719
890	5825	712
891	5831	706
892	5838	699
893	5844	693
894	5851	686
895	5858	679
896	5864	673
897	5871	666
898	5877	660
899	5884	653
900	5890	647
901	5897	640
902	5903	634
903	5909	627
904	5916	621
905	5923	614
906	5929	608
907	5936	601
908	5943	594
909	5949	588
910	5956	581
911	5962	575
912	5968	568
913	5974	562
914	5981	555
915	5988	549
916	5996	542
917	6003	536
918	6009	529
919	6016	523
920	6023	516
921	6029	510
922	6036	503
923	6042	497
924	6049	490
925	6055	483
926	6062	477
927	6067	470
928	6074	464
929	6081	457
930	6087	451
931	6093	444
932	6100	438
933	6106	431
934	6113	424
935	6119	418
936	6126	411
937	6132	405
938	6139	398
939	6145	392
940	6152	385
941	6158	379
942	6164	372
943	6170	366
944	6177	359
945	6183	352
946	6190	346
947	6196	339
948	6203	333
949	6209	326
950	6216	320
951	6222	313
952	6229	307
953	6235	300
954	6242	294
955	6248	287
956	6254	281
957	6261	274
958	6267	267
959	6274	261
960	6281	254
961	6288	248
962	6294	241
963	6301	235
964	6307	228
965	6314	222
966	6320	215
967	6327	209
968	6333	202
969	6340	196
970	6346	189
971	6353	183
972	6359	176
973	6366	169
974	6372	163
975	6379	156
976	6384	150
977	6391	143
978	6397	137
979	6404	130
980	6410	124
981	6435	117
982	6442	111
983	6448	104
984	6455	98
985	6461	91
986	6467	85
987	6474	78
988	6480	72
989	6486	65
990	6493	58
991	6498	52
992	6504	45
993	6511	39
994	6517	32
995	6523	26
996	6530	19
997	6537	13
998	6543	6
999	6550	0
